Time(s)	GREEN_denoised_median
9.020000	1889.389731
9.030000	1959.800638
9.040000	2044.312653
9.050000	2143.439388
9.060000	2248.254864
9.070000	2362.156977
9.080000	2471.194176
9.090000	2576.961765
9.100000	2675.161531
9.110000	2772.841665
9.120000	2861.128804
9.130000	2921.714558
9.140000	2921.714558
9.150000	2921.714558
9.160000	2719.095542
9.170000	2434.870459
9.180000	2135.247669
9.190000	1865.008575
9.200000	1650.389489
9.210000	1492.116805
9.220000	1381.545287
9.230000	1304.248401
9.240000	1251.756208
9.250000	1251.756208
9.260000	1251.756208
9.270000	1249.905735
9.280000	1249.905735
9.290000	1249.905735
9.300000	1205.576564
9.310000	1148.239165
9.320000	1093.944766
9.330000	1044.567718
9.340000	1013.377768
9.350000	1013.377768
9.360000	1013.377768
9.370000	1024.222716
9.380000	1057.366899
9.390000	1102.592660
9.400000	1153.894435
9.410000	1216.021537
9.420000	1284.425216
9.430000	1360.494886
9.440000	1439.968006
9.450000	1524.010040
9.460000	1616.544626
9.470000	1707.512390
9.480000	1797.174529
9.490000	1889.047946
9.500000	1976.800964
9.510000	1976.800964
9.520000	1976.800964
9.530000	1938.128916
9.540000	1696.073932
9.550000	1394.869347
9.560000	1096.810455
9.570000	842.568852
9.580000	644.486861
9.590000	572.742795
9.600000	572.742795
9.610000	572.742795
9.620000	661.969394
9.630000	754.556351
9.640000	863.623472
9.650000	970.294160
9.660000	1074.340092
9.670000	1170.703593
9.680000	1170.703593
9.690000	1170.703593
9.700000	979.744381
9.710000	683.493889
9.720000	366.692461
9.730000	83.204855
9.740000	-137.421635
9.750000	-310.202823
9.760000	-432.484310
9.770000	-523.669056
9.780000	-586.500060
9.790000	-586.500060
9.800000	-586.500060
9.810000	-574.092759
9.820000	-574.092759
9.830000	-574.092759
9.840000	-612.547716
9.850000	-672.631670
9.860000	-718.405801
9.870000	-771.334671
9.880000	-786.678007
9.890000	-786.678007
9.900000	-786.678007
9.910000	-770.254260
9.920000	-730.142480
9.930000	-692.419264
9.940000	-624.457821
9.950000	-569.806382
9.960000	-485.549365
9.970000	-423.468058
9.980000	-423.468058
9.990000	-423.468058
10.000000	-767.485957
10.010000	-1029.721304
10.020000	-1210.459043
10.030000	-1363.610366
10.040000	-1464.235421
10.050000	-1549.691144
10.060000	-1577.544894
10.070000	-1577.544894
10.080000	-1586.314478
10.090000	-1586.314478
10.100000	-1586.314478
10.110000	-1616.137841
10.120000	-1684.249287
10.130000	-1723.965291
10.140000	-1787.537716
10.150000	-1797.604947
10.160000	-1799.469478
10.170000	-1799.469478
10.180000	-1797.604947
10.190000	-1742.167259
10.200000	-936.243999
10.210000	-814.490811
10.220000	-755.424141
10.230000	-640.227431
10.240000	-640.227431
10.250000	-640.227431
10.260000	-681.753086
10.270000	-899.224737
10.280000	-1220.525330
10.290000	-1497.495145
10.300000	-1748.792082
10.310000	-1913.584089
10.320000	-2050.424117
10.330000	-2135.484665
10.340000	-2205.357151
10.350000	-2205.357151
10.360000	-2205.357151
10.370000	-2171.275877
10.380000	-2171.275877
10.390000	-2171.275877
10.400000	-2226.208684
10.410000	-2281.573058
10.420000	-2345.894945
10.430000	-2387.802952
10.440000	-2417.738707
10.450000	-2417.738707
10.460000	-2417.738707
10.470000	-2400.211560
10.480000	-2374.763432
10.490000	-2331.361193
10.500000	-2281.954372
10.510000	-2216.495201
10.520000	-2148.254397
10.530000	-2061.595083
10.540000	-1984.720320
10.550000	-1888.583416
10.560000	-1810.414160
10.570000	-1715.419998
10.580000	-1630.323186
10.590000	-1531.163765
10.600000	-1446.422778
10.610000	-1354.817519
10.620000	-1354.817519
10.630000	-1354.817519
10.640000	-1532.272286
10.650000	-1790.737880
10.660000	-2087.967223
10.670000	-2325.867661
10.680000	-2325.867661
10.690000	-2325.867661
10.700000	-2304.337816
10.710000	-2182.646282
10.720000	-2097.354500
10.730000	-1976.811643
10.740000	-1882.785103
10.750000	-1767.724200
10.760000	-1671.503230
10.770000	-1559.479442
10.780000	-1455.429096
10.790000	-1346.180413
10.800000	-1323.855787
10.810000	-1323.855787
10.820000	-1323.855787
10.830000	-1549.368651
10.840000	-1875.234822
10.850000	-2190.629421
10.860000	-2466.885946
10.870000	-2674.935371
10.880000	-2838.728816
10.890000	-2948.193818
10.900000	-3044.758887
10.910000	-3105.320560
10.920000	-3118.267037
10.930000	-3118.267037
10.940000	-3129.434235
10.950000	-3129.434235
10.960000	-3129.728558
10.970000	-3167.484865
10.980000	-3218.263733
10.990000	-3254.448516
11.000000	-3264.820135
11.010000	-3264.820135
11.020000	-3264.820135
11.030000	-3230.170060
11.040000	-3191.837123
11.050000	-3119.895703
11.060000	-3048.068963
11.070000	-2948.491698
11.080000	-2861.527160
11.090000	-2743.896361
11.100000	-2743.896361
11.110000	-2743.896361
11.120000	-2799.550177
11.130000	-2799.550177
11.140000	-2799.550177
11.150000	-2766.718404
11.160000	-2766.718404
11.170000	-2766.718404
11.180000	-2756.025185
11.190000	-2730.880639
11.200000	-2297.758971
11.210000	-2164.883420
11.220000	-2075.086676
11.230000	-1937.757010
11.240000	-1835.919129
11.250000	-1700.239146
11.260000	-1590.131366
11.270000	-1458.453931
11.280000	-1351.625021
11.290000	-1217.421363
11.300000	-1110.434741
11.310000	-990.149371
11.320000	-880.442216
11.330000	-747.739575
11.340000	-624.650543
11.350000	-486.189749
11.360000	-357.012445
11.370000	-221.545739
11.380000	-221.545739
11.390000	-221.545739
11.400000	-255.094447
11.410000	-473.095176
11.420000	-711.564354
11.430000	-900.271276
11.440000	-1036.228706
11.450000	-1115.453450
11.460000	-1171.002651
11.470000	-1200.545330
11.480000	-1200.545330
11.490000	-1200.545330
11.500000	-1166.754799
11.510000	-1123.557466
11.520000	-1110.588943
11.530000	-1110.588943
11.540000	-1110.588943
11.550000	-1125.489280
11.560000	-1125.489280
11.570000	-1125.489280
11.580000	-1117.386384
11.590000	-1082.445645
11.600000	-1038.290766
11.610000	-980.393112
11.620000	-913.211512
11.630000	-838.323274
11.640000	-755.115779
11.650000	-659.231604
11.660000	-564.056143
11.670000	-461.066035
11.680000	-355.018160
11.690000	-238.852087
11.700000	-129.027755
11.710000	-6.522556
11.720000	107.872531
11.730000	220.902945
11.740000	327.762536
11.750000	439.394253
11.760000	541.607166
11.770000	659.016906
11.780000	775.365392
11.790000	898.733362
11.800000	1016.093690
11.810000	1085.398734
11.820000	1085.398734
11.830000	1085.398734
11.840000	922.386629
11.850000	741.582686
11.860000	573.959186
11.870000	468.852606
11.880000	390.334131
11.890000	390.334131
11.900000	390.334131
11.910000	398.204295
11.920000	430.390469
11.930000	516.390782
11.940000	564.938081
11.950000	621.144718
11.960000	621.144718
11.970000	629.017278
11.980000	636.066265
11.990000	644.212507
12.000000	1294.809126
12.010000	1437.287587
12.020000	1510.178305
12.030000	1643.691588
12.040000	1727.940900
12.050000	1860.719830
12.060000	1944.221057
12.070000	2067.316547
12.080000	2149.091569
12.090000	2272.420738
12.100000	2358.576759
12.110000	2482.005062
12.120000	2563.700805
12.130000	2563.700805
12.140000	2563.700805
12.150000	2457.394601
12.160000	2215.156435
12.170000	2003.340003
12.180000	1791.432289
12.190000	1669.683193
12.200000	1547.277707
12.210000	1512.586158
12.220000	1447.186710
12.230000	1447.186710
12.240000	1447.186710
12.250000	1463.517543
12.260000	1463.517543
12.270000	1469.519978
12.280000	1473.976499
12.290000	1519.694927
12.300000	2502.278158
12.310000	2642.547856
12.320000	2686.177219
12.330000	2818.530676
12.340000	2871.181152
12.350000	2906.097994
12.360000	2906.097994
12.370000	2906.097994
12.380000	2673.193256
12.390000	2426.532432
12.400000	2151.640005
12.410000	1959.391602
12.420000	1785.687100
12.430000	1681.648640
12.440000	1592.525266
12.450000	1542.203969
12.460000	1494.280579
12.470000	1494.280579
12.480000	1491.991069
12.490000	1491.780913
12.500000	1491.780913
12.510000	1460.973774
12.520000	1408.644156
12.530000	1348.148431
12.540000	1301.617384
12.550000	1259.321820
12.560000	1257.206248
12.570000	1257.206248
12.580000	1257.206248
12.590000	1264.402719
12.600000	1314.972827
12.610000	1344.155966
12.620000	1418.187672
12.630000	1456.595030
12.640000	1550.964131
12.650000	1596.584262
12.660000	1704.422538
12.670000	1741.994661
