2025-10-08 21:06:47    绿光---红外光---红光
-1.141928E+09 2.202044E+07 1.101783E+08
-1.243379E+08 1.278865E+09 8.339635E+07
-1.841209E+08 6.705999E+08 2.117733E+07
1.510269E+09 -1.081211E+09 -2.581485E+08
-1.207871E+09 4.538379E+08 1.40375E+09
8.211136E+08 5.337911E+08 1.009802E+08
-3.61321E+08 1.818685E+09 6.757146E+07
-1.308233E+09 1.642853E+09 2.190257E+07
-1.66066E+09 -1.087765E+09 -1.629925E+08
-1.107234E+09 1.15468E+09 -1.094072E+09
1.157616E+09 1.190527E+09 1.042665E+08
-2.664808E+08 -4.129412E+08 7.237581E+07
-1.777973E+09 8.713781E+08 1.571994E+07
-1.341895E+09 -5.919851E+08 8.43406E+07
-1.845425E+09 -5.53385E+08 7.015844E+08
1.292262E+09 8.499366E+08 8.629786E+07
-7.682108E+07 -5.196344E+08 4.846157E+07
-2.848958E+08 -1.627788E+09 1.541119E+07
1.174628E+09 -1.409743E+09 -1.907758E+08
1.510013E+09 -6.66238E+08 -1.566745E+09
1.878191E+09 -3.025139E+08 1.016609E+08
3.818057E+07 -6.101648E+07 6.564506E+07
-1.638229E+07 -9.55919E+08 1.661773E+07
-1.476134E+09 -1.485372E+09 8.100326E+07
8.724772E+08 1.720452E+09 5.49824E+08
4.881577E+08 -2.066219E+09 1.071432E+08
3.613557E+08 -5.750082E+08 7.619814E+07
1.5607E+09 2.081658E+09 1.419291E+07
1.678017E+09 -4.767728E+08 2.089982E+08
3.691538E+08 1.759774E+09 1.927754E+09
1.745709E+09 -2.02539E+09 1.07457E+08
1.834948E+08 -7.725348E+08 7.534669E+07
-9.894386E+08 1.517437E+08 1.344539E+07
2.063887E+09 -3.920348E+08 2.074908E+08
2.080436E+09 1.693451E+09 2.311777E+08
9.236022E+08 1.760035E+09 1.094185E+08
9.24431E+08 1.073514E+08 7.431117E+07
1.007061E+09 -7.844007E+08 1.727515E+07
-1.308337E+09 -1.649933E+09 1.397392E+08
5.03384E+08 1.376716E+09 -2.41002E+08
-1.475887E+09 -1.935931E+08 1.022587E+08
8.466383E+08 -1.397858E+08 6.313907E+07
-8.88807E+08 7.40889E+08 1.634305E+07
-8.386066E+08 -1.01928E+09 2.246001E+08
-1.509448E+08 5.039828E+07 -2.048607E+09
1.611417E+09 1.414267E+09 1.015485E+08
1.447628E+08 -9.174349E+08 7.255398E+07
-1.610217E+09 1.879514E+09 1.302939E+07
1.577338E+09 -3.283338E+08 2.609664E+08
-8.555881E+08 -3.411793E+08 -1.460985E+09
1.158612E+09 9.530247E+08 9.975475E+07
3.524448E+08 -8.861084E+08 7.176883E+07
-2.147091E+09 1.96486E+09 1.375976E+07
-1.649253E+07 -1.465383E+09 1.603805E+08
8.389188E+08 5.915946E+08 3.966472E+08
1.443454E+09 -2.068381E+09 1.045553E+08
8.268485E+08 -2.064011E+07 7.626291E+07
-1.559869E+09 7.911608E+08 1.692008E+07
-7.043471E+08 -8.198538E+08 3.263117E+08
-2.130642E+09 1.215432E+09 1.356426E+09
-1.329971E+08 -2.091516E+09 1.056366E+08
2.55648E+08 5.833119E+07 7.488819E+07
-1.996075E+09 -1.32478E+09 1.750068E+07
-5.030343E+08 -4.240819E+08 2.116827E+08
-8.555841E+08 -6.181348E+08 -8.572989E+08
-7.540152E+08 -1.493369E+09 7.23049E+07
3.738088E+08 -1.322314E+09 4.18199E+07
-1.610342E+09 1.512038E+09 1.017783E+07
1.610747E+09 -1.080295E+09 8.818628E+08
8.72457E+08 -1.288241E+09 -3.740969E+08
-6.671426E+08 1.782121E+09 6.712218E+07
6.843732E+08 -1.418314E+09 4.050125E+07
4.029169E+08 8.578974E+08 1.14297E+07
-1.52657E+09 -8.772639E+08 1.120739E+09
1.71133E+09 -2.117468E+09 -1.713124E+09
3.894997E+08 -4.908644E+08 7.991296E+07
3.802993E+08 -6.483997E+08 4.743014E+07
1.848527E+08 8.06772E+08 1.329387E+07
1.073912E+09 -3.281377E+08 9.196062E+08
9.7313E+08 9.814678E+08 5.189443E+08
-1.388743E+09 -1.797783E+09 7.127526E+07
3.192874E+08 -9.224701E+08 4.295808E+07
8.726909E+08 -2.146261E+09 1.324319E+07
7.886972E+08 -2.869811E+08 8.646854E+08
-6.207E+08 -2.136669E+09 -6.899164E+08
1.542684E+08 1.035731E+09 8.695168E+07
8.20425E+07 2.918445E+08 5.860045E+07
-1.190819E+09 -1.425894E+09 1.811461E+07
4.70005E+08 -6.284232E+08 7.7883E+08
4.362793E+08 -5.284158E+08 -1.032776E+08
-8.862587E+08 -2.650273E+08 9.60855E+07
-1.017893E+08 2.654295E+08 6.454067E+07
1.510309E+09 -1.851316E+08 1.729001E+07
-8.721708E+08 -9.041988E+08 3.380311E+08
1.493236E+09 -1.937702E+09 -3461884
1.309348E+09 -1.092483E+08 7.071258E+07
-5.03199E+08 -2.099762E+08 4.701158E+07
5.539087E+08 -2.06556E+09 1.490713E+07
9.229139E+08 -8.12842E+08 -1.301622E+08
-1.811886E+09 1.456407E+09 6.176596E+08
6.702659E+08 4.35618E+08 5.015757E+07
-5.053598E+08 -1.613763E+09 2.932531E+07
-2.130546E+09 9.866005E+07 8567011
1.258383E+09 -7.887252E+08 -5.362227E+08
-1.795095E+09 1.446184E+09 -1.512736E+09
-1.831722E+09 1.35345E+09 7.920486E+07
